iso3,country,continent,subcontinent
QAT,Qatar,Asia,Western Asia
REU,Réunion,Unknown,Unknown
ROU,Romania,Europe,Europe (General)
RUS,Russian Federation,Europe,Eastern Europe
RWA,Rwanda,Unknown,Unknown
SAU,Saudi Arabia,Asia,Western Asia
SDN,Sudan,Africa,Sub-Saharan Africa
SEN,Senegal,Africa,Sub-Saharan Africa
SGP,Singapore,Unknown,Unknown
SGS,South Georgia and the South Sandwich Islands,Unknown,Unknown
SHN,"Saint Helena, Ascension and Tristan da Cunha",Unknown,Unknown
SJM,Svalbard and Jan Mayen,Unknown,Unknown
SLB,Solomon Islands,Oceania,Australia and New Zealand
SLE,Sierra Leone,Unknown,Unknown
SLV,El Salvador,Unknown,Unknown
SMR,San Marino,Europe,Europe (General)
SOM,Somalia,Unknown,Unknown
SPM,Saint Pierre and Miquelon,Unknown,Unknown
SRB,Serbia,Europe,Europe (General)
SSD,South Sudan,Unknown,Unknown
STP,Sao Tome and Principe,Unknown,Unknown
SUR,Suriname,South America,South America
SVK,Slovakia,Europe,Europe (General)
SVN,Slovenia,Europe,Europe (General)
SWE,Sweden,Europe,Europe (General)
SWZ,Eswatini,Unknown,Unknown
SXM,Sint Maarten (Dutch part),Unknown,Unknown
SYC,Seychelles,Unknown,Unknown
SYR,Syrian Arab Republic,Asia,Western Asia
TCA,Turks and Caicos Islands,Unknown,Unknown
TCD,Chad,Unknown,Unknown
TGO,Togo,Unknown,Unknown
THA,Thailand,Unknown,Unknown
TJK,Tajikistan,Unknown,Unknown
TKL,Tokelau,Unknown,Unknown
TKM,Turkmenistan,Unknown,Unknown
TLS,Timor-Leste,Unknown,Unknown
TON,Tonga,Oceania,Australia and New Zealand
TTO,Trinidad and Tobago,Unknown,Unknown
TUN,Tunisia,Africa,Northern Africa
TUR,Turkey,Europe,Europe (General)
TUV,Tuvalu,Oceania,Australia and New Zealand
TWN,"Taiwan, Province of China",Unknown,Unknown
TZA,"Tanzania, United Republic of",Africa,Sub-Saharan Africa
UGA,Uganda,Africa,Sub-Saharan Africa
UKR,Ukraine,Europe,Europe (General)
UMI,United States Minor Outlying Islands,Unknown,Unknown
URY,Uruguay,South America,South America
USA,United States,North America,Northern America
UZB,Uzbekistan,Unknown,Unknown
VAT,Holy See (Vatican City State),Europe,Europe (General)
VCT,Saint Vincent and the Grenadines,Unknown,Unknown
VEN,"Venezuela, Bolivarian Republic of",South America,South America
VGB,"Virgin Islands, British",Unknown,Unknown
VIR,"Virgin Islands, U.S.",Unknown,Unknown
VNM,Viet Nam,Unknown,Unknown
VUT,Vanuatu,Oceania,Australia and New Zealand
WLF,Wallis and Futuna,Unknown,Unknown
WSM,Samoa,Oceania,Australia and New Zealand
YEM,Yemen,Asia,Western Asia
ZAF,South Africa,Africa,Sub-Saharan Africa
ZMB,Zambia,Africa,Sub-Saharan Africa
ZWE,Zimbabwe,Africa,Sub-Saharan Africa
